Location: Name (Grouped),Abreviation,Latitude,Longitude,Notes,Time zone from UTC
Abbott Kinney,AK,33.991306,-118.469226,,-8
Armitage,ARM,41.918007,-87.650378,,-6
Atlanta,ATL,33.7727859,-84.3652183,,-5
Berkeley,BERK,37.869591,-122.300522,,-8
Brookfield Place,BFPL,40.714113,-74.01581,,-5
Bethesda,BETH,38.9811492,-77.0961287,,-5
Brooklyn,BK,40.687355,-73.993179,,-5
Bleecker,BL,40.734861,-74.0046,,-5
Boulder,BLDR,40.017371,-105.280944,,-7
Boston,BOS,42.3473046,-71.0819042,,-5
Bridgeport,BRPT,45.39514,-122.751449,,-8
Bellevue Square,BSQ,47.611969,-122.20141,,-8
Bucktown,BT,41.911864,-87.677726,,-6
Cambridge,CAM,42.3736815,-71.1209573,,-5
Century City,CC,34.058812,-118.418731,,-8
Cherry Creek,CHC,39.716924,-104.95379,,-7
Capitol Hill,CHILL,47.615088,-122.327067,,-8
Charleston,CHS,32.7830403,-79.9342312,,-5
Columbus,CLB,40.052499,-82.915051,,-5
Charlotte,CLT,35.2108162,-80.8605821,,-5
Corte Madera,CM,37.927769,-122.516704,New door,-8
Chestnut,CN,37.800807,-122.438255,,-8
Chestnut Hill,CNHL,42.3230943,-71.1676852,,-5
Dallas,DAL,32.823639,-96.789001,,-6
Washington DC,DC,38.9122464,-77.0317156,,-5
Denver,DEN,39.759451,-104.983798,,-7
Green Hills,GHIL,36.1070168,-86.8163009,,-6
Georgetown,GT,38.9053626,-77.0634086,,-5
Houston,HOU,29.783157,-95.398006,,-6
Hayes Valley,HV,37.776711,-122.424669,,-8
Highland Village,HVIL,29.741878,-95.447907,,-6
Lynnfield,LYNN,42.5153375,-71.0333175,,-5
Malibu,MBU,34.03645,-118.685452,,-8
Manhattan Beach,MHB,33.884956,-118.409366,,-8
Mall of America,MOA,44.854175,-93.244667,,-6
Nashville,NASH,36.1227752,-86.7902822,,-6
Nolita,NO,40.7226285,-73.9945497,,-5
New Orleans,NOLA,29.9214602,-90.0961816,,-6
Newport Beach,NPB,33.616601,-117.878505,,-8
North Park,NPRK,32.868681,-96.773638,,-6
Northwest 23rd,NW23,45.528739,-122.698257,,-8
Old Orchard,OLD,42.060153,-87.74921,,-6
Palo Alto,PA,37.438201,-122.160896,,-8
Philadelphia,PHIL,39.9496063,-75.1678309,,-5
San Diego,SD,32.871424,-117.211819,,-8
Scottsdale,SDL,33.623112,-111.924161,no daylight savings,-7
Seattle,SEA,47.662416,-122.299021,,-8
San Jose,SJO,37.320896,-121.947345,,-8
South Congress,SOCO,30.262606,-97.744854,,-6
Upper West Side,UWS,40.7828272,-73.9751746,,-5
Walnut Creek,WC,37.895799,-122.058345,,-8
Westport,WP,41.1420843,-73.3618549,,-5
